,name,letter
0,alanine,A
1,arginine,R
2,asparagine,N
3,aspartic acid,D
4,asparagine or aspartic acid,B
5,cysteine,C
6,glutamic acid,E
7,glutamine,Q
8,glutamine or glutamic acid,Z
9,glycine,G
10,histidine,H
11,isoleucine,I
12,leucine,L
13,lysine,K
14,methionine,M
15,phenylalanine,F
16,proline,P
17,serine,S
18,threonine,T
19,tryptophan,W
20,tyrosine,Y
21,valine,V
