m/z	intensity
110.0713	29422.7891
112.0868	4282.5659
113.0709	1195.4149
114.2358	821.0837
115.0865	9551.1641
115.1226	1421.1207
115.1247	19629.4258
115.1309	1231.0294
115.1338	1057.3287
116.0706	1802.1553
116.1281	197610.0625
116.1344	47137.543
116.1379	2255.27
116.1402	39547.7461
117.1315	191846.7188
117.1373	67401.3438
117.1409	3294.7632
117.1435	51364.8789
118.0426	853.2628
118.053	733.286
118.1348	188880.625
118.1406	56784.3945
118.1469	106147.2891
118.1527	105578.2656
119.1382	3023.9434
119.1417	800.0682
119.1502	2052.8779
119.1561	3848.8386
120.4887	870.7855
122.1734	897.7139
128.2861	785.705
129.1136	937.1219
136.0869	1158.8644
138.0663	1259.5414
141.3273	872.1277
141.8595	890.0443
149.5561	971.7255
149.7937	933.2062
153.6552	933.2313
155.045	1144.1833
155.0812	1140.5979
156.1132	1077.0441
157.1084	2772.4644
158.0923	9551.6309
164.0815	1081.4459
164.4447	1018.6136
166.061	3307.8926
167.0813	3200.7283
172.0714	1357.4028
172.1079	1779.1848
175.0707	925.9887
175.1187	32781.6055
178.2431	5691.2441
178.2482	9421.4248
178.6283	1123.4139
179.0923	1382.9521
179.1486	19038.2285
179.1556	1017.6252
181.1082	10345.5645
182.0265	1155.2666
183.149	3209.9902
184.1079	3343.2009
185.103	1267.7714
186.087	1936.7538
187.0711	3650.1853
192.0767	1214.6604
195.0762	3685.3066
204.9461	1125.3817
207.0875	1999.3719
209.103	19619.2891
211.1439	12375.6807
212.1027	13081.167
215.1135	2840.2231
224.3035	1101.9038
225.0797	1468.3754
227.122	1139.248
228.1702	2286.1458
229.1288	1528.2382
232.1187	1834.298
232.1401	9645.5547
235.1191	1255.1906
235.8941	1152.7708
237.0981	3855.1926
241.883	1257.2162
244.1657	1751.8524
251.1133	1994.1256
251.3593	1221.299
253.0749	5005.8169
253.1656	12455.4805
255.1448	1571.3336
257.1241	5179.3018
261.0981	1367.6832
262.1296	6311.6978
266.1126	1409.2518
268.14	1953.7463
268.1655	3945.8293
269.1241	10136.1611
270.1015	3874.1038
270.1089	1794.8158
270.192	4791.2388
278.1241	2555.4885
278.1644	5388.9307
279.5013	1211.6953
280.0858	2226.8782
280.1401	6078.001
281.0699	13039.9746
284.1234	1373.6528
286.1506	7674.853
287.1348	5183.0586
292.0926	2086.2932
293.0496	1113.088
295.1029	1217.7029
298.0965	74657.5
298.151	1545.3903
299.1001	4930.4199
304.1614	2393.8943
306.1017	1510.214
306.1594	7319.1558
306.1709	1147.4512
308.1349	10414.1484
309.119	2071.9341
310.1863	2231.0962
311.8064	1109.9489
312.1296	3462.4814
315.1773	1626.6985
319.1613	1147.682
326.0912	1960.4498
326.1456	11348.8018
329.1563	12326.9697
334.0973	1484.7418
341.1375	1276.684
343.1717	1203.579
344.1559	5435.314
346.1831	1556.5647
349.1612	1374.2682
350.0914	3507.1921
351.1228	4853.4141
352.1068	3695.0024
361.1824	31790.6426
365.193	1973.4628
366.1398	2038.2864
366.1766	5921.7793
366.1878	2165.7051
369.1334	53009.1406
370.137	3953.175
376.1721	1302.6636
381.1907	1381.3903
382.2379	1181.9329
383.1671	2069.157
383.2031	10874.4297
384.1874	1270.4794
387.7509	2403.8179
388.2525	17490.9316
391.1714	1441.9767
394.1828	15280.3477
397.2076	2533.7114
405.7139	1244.9247
408.1983	3008.5337
409.1823	8781.3389
409.7043	1643.5953
411.2343	2386.0542
412.1755	5688.2549
414.2339	1495.6117
418.709	8493.2725
419.21	1789.8073
422.1613	2115.0745
422.1775	4369.7739
423.1443	2970.7312
423.1971	1649.1608
425.2248	4014.6011
426.1926	1984.4744
426.2089	36375.0273
427.2122	2738.4441
428.1672	1677.5496
428.261	3180.1165
437.7323	1430.9956
439.2296	2747.0579
440.1704	31797.6152
441.1737	2380.1614
441.2086	14062.7812
441.2261	2305.6213
443.2189	2562.6145
443.2355	54568.3789
444.2382	5288.7832
446.1781	1704.6149
451.1923	1729.6544
455.181	1499.2546
456.2558	3346.8523
458.2354	2848.3943
461.8679	1322.5795
463.205	2003.6455
464.1879	2233.5234
474.2664	5035.7461
479.2361	1752.2275
480.219	2351.0574
486.23	1505.8773
489.1714	1403.4
492.1655	3583.084
497.2461	3342.5632
506.1978	3274.364
509.1918	16054.002
510.193	1229.1865
511.2859	1419.6279
519.1763	1967.0109
519.2302	1598.8866
522.2421	1680.8102
523.2247	5697.5566
526.2183	11820.2979
527.2202	2045.8571
527.3295	3544.1492
529.2974	1624.236
536.2027	5115.6958
536.2819	4611.3081
537.1866	14008.626
537.2662	1858.7307
539.2678	2161.1343
540.2517	26192.9453
541.2549	3947.9417
543.324	2704.1987
553.3082	7152.5332
554.213	69147.6406
554.2924	23999.4668
554.3145	2190.9138
555.2158	7379.123
557.278	17108.3809
558.2825	1716.0291
571.2776	9900.4316
571.3187	206357.4375
571.3379	21160.8926
571.3831	7961.2344
571.7871	2136.313
572.3212	2498.7778
572.3874	1377.546
577.2346	1469.4067
582.2073	1816.0012
585.2928	1396.0343
594.2613	2147.2358
605.2771	1530.6509
611.2881	3312.9631
613.3412	2071.7998
627.7401	1193.5186
628.3151	43074.0664
629.3179	6457.1851
630.3671	2005.4768
634.2402	1577.3145
651.2648	4276.6016
662.3004	1834.8245
665.2967	2385.856
680.308	2052.8438
682.3255	6139.5898
699.3516	54151.5156
700.3547	9840.5381
720.2845	1750.5093
741.3893	1453.1949
748.2808	3121.3127
765.3077	6876.1484
776.3789	2021.9979
801.3729	2844.5352
802.3571	2228.6599
805.3031	3015.8003
807.6856	1220.3878
818.3989	1932.6121
819.384	9910.498
820.3865	2781.7952
822.329	10218.0449
823.3308	1690.944
836.4102	72149.8047
837.4129	19347.0801
839.3536	3165.5808
840.3401	6394.7344
841.3431	1501.3
871.3845	1699.8827
888.4027	2241.2056
902.3541	1484.5209
905.4316	11835.873
906.4361	3812.0583
915.4166	2185.7297
916.4203	2998.427
