m/z	intensity
542.4802	36.9962
543.2698	30.4335
544.3854	47.5146
546.9375	29.6738
548.2976	13.493
549.4918	15.3682
551.3699	21.517
553.3105	42.8669
555.7029	27.9128
558.424	75.9085
559.3694	379.7422
560.4684	60.9663
562.3005	20.7631
562.915	19.9076
563.7685	87.145
564.4249	29.412
565.2058	81.6369
566.2595	19.8069
567.7048	34.3249
568.3866	38.0318
571.5585	25.8347
574.3505	22.0068
575.5248	54.3849
576.8663	58.6034
578.7048	26.8577
580.4214	78.3178
581.4858	17.3908
583.3046	124.8374
584.4554	86.5055
585.106	16.5523
588.0615	134.8706
589.0784	203.2916
590.2874	92.3913
593.6108	28.7068
596.4184	37.5626
598.413	69.9016
599.2717	34.9694
601.5905	134.2121
602.6508	102.88
603.5292	223.9225
605.3884	26.8676
606.36	201.5594
607.5808	36.3085
608.3738	57.7755
610.9894	42.219
612.947	51.0335
615.5378	248.8694
617.1403	118.9701
617.9056	79.7265
618.5926	22.8186
619.4792	38.1998
621.656	18.9776
623.8317	18.0933
624.6583	15.6728
625.6594	63.7129
626.619	65.7698
627.318	56.2926
628.5171	13.1238
629.4659	61.6099
630.463	128.609
633.7892	18.119
634.5064	33.4889
636.1117	19.7558
636.8096	37.5856
637.434	113.3031
638.969	56.5516
640.3906	11.2118
641.4525	62.3222
642.686	44.7759
643.4731	41.7362
644.4288	214.3201
645.335	70.9566
647.0001	35.8952
648.3297	129.7481
649.0075	32.3187
650.7362	23.7135
652.649	13.6766
653.4578	130.1222
654.5656	11.972
655.3535	143.989
656.4435	116.5576
660.4357	37.3843
662.3439	65.5085
663.4148	44.7284
664.3139	112.1721
666.3486	15.8933
667.6867	67.0999
670.4016	21.5023
672.4608	547.1082
673.4743	298.7083
674.532	83.8831
676.8502	18.137
678.3981	66.3965
679.4719	30.7069
681.4296	75.6578
682.4919	25.1754
683.6656	19.7712
684.6718	123.3488
685.3046	73.0726
686.5047	34.4466
689.4152	126.1108
690.357	14.9978
691.2947	44.7287
692.2001	21.6516
694.5646	24.2486
696.7422	49.2524
697.6546	89.4139
698.3655	84.8854
699.1278	40.4387
700.3003	27.0077
701.501	130.7051
702.3936	15.6534
707.3914	23.995
708.5385	21.1241
709.6398	11.9638
712.2468	16.7605
713.4442	22.2421
714.4976	67.1844
715.4276	309.0297
716.5529	162.1277
717.6841	45.8947
719.3425	17.7571
722.6484	46.1962
723.5617	24.8331
724.606	249.6297
725.5353	112.0966
726.4109	212.2919
727.521	94.1324
728.4911	28.0196
731.3809	50.8152
732.6205	60.4905
733.3411	36.6495
733.9918	32.8289
735.6061	107.9817
736.8006	16.2895
737.5396	23.7445
740.5134	24.8241
742.2909	56.7159
743.3872	1423.163
744.4586	479.7148
745.2564	35.331
747.7501	24.4742
748.525	41.9338
751.3879	78.2781
752.735	51.9303
754.4197	24.6671
755.4485	13.3874
757.3763	32.138
758.5576	135.2885
759.6623	51.6822
760.3349	17.7552
761.3976	158.4258
762.6149	63.1965
763.5338	78.912
764.7391	18.7735
765.8264	54.1791
766.5898	18.5147
769.0073	97.7567
773.147	36.7214
773.9527	36.2936
775.582	614.8314
776.5711	204.0132
778.3292	51.4526
781.2605	29.1698
783.0187	20.8981
783.6351	42.0171
784.7693	31.3755
785.5447	64.518
787.1841	16.9853
791.0174	47.3608
791.6183	11.8749
795.3011	31.3395
796.1048	66.1115
798.6452	33.9811
800.5079	23.3365
801.6382	36.5776
807.538	30.0531
809.4338	16.4374
810.6037	28.0593
811.5175	29.9059
812.5925	18.3368
818.5056	33.9721
820.5863	34.8782
824.0756	79.6647
824.744	34.5197
825.5341	74.5912
826.8738	17.5272
827.6033	27.1445
832.5585	20.5459
837.6068	38.6137
839.6093	61.5176
840.3062	20.1414
841.3004	33.8023
848.2723	15.9163
852.4354	164.1045
853.4803	90.5009
854.5076	19.595
859.3489	13.3702
863.5842	112.4629
866.734	38.5942
868.9464	8.8933
869.6357	17.6649
870.4617	38.4457
871.5943	207.5294
872.6198	256.5236
873.431	41.7367
880.4242	172.9354
881.6427	202.2819
882.7056	56.0942
883.6994	68.7322
889.5878	1116.5167
890.5511	588.9927
891.5635	168.9045
892.2676	15.3697
894.4612	14.7043
895.8833	110.7362
898.4534	236.1744
899.5076	261.3671
900.507	327.9113
901.6655	97.0123
905.7255	117.6732
906.5997	48.2803
907.5771	51.2686
908.4181	25.7383
909.4938	18.1263
912.7214	125.302
913.5461	28.3979
919.8723	19.5059
922.2418	32.6257
923.4493	35.6731
925.1484	17.5748
933.5432	61.5914
939.097	17.5856
952.814	51.9717
959.5696	49.2312
965.6982	19.0197
978.7014	59.5564
986.6373	47.263
987.7271	27.2992
988.83	68.0428
1003.5894	26.3655
1004.7365	27.9407
1008.8889	26.4998
1030.1089	7.4488
1036.4939	22.4421
