m/z	intensity
110.0694	1559.0668
110.0712	24162.3203
112.0869	1698.3682
112.885	717.2484
113.0708	1817.2632
113.7041	752.7341
115.0072	643.2557
115.0864	1477.5342
115.1246	4087.8679
115.131	4508.4092
115.1335	2210.6582
116.0702	888.3066
116.128	5066.0972
116.1308	940.9501
116.1343	22864.4434
116.1402	68937.1719
117.135	1840.3514
117.1372	29804.5957
117.1406	9210.0596
117.1435	10079.416
118.1348	19056.7051
118.1406	6222.6641
118.1469	287847.5938
118.1526	10519.8887
118.3774	770.715
119.1503	8228.3398
119.1526	1770.126
123.0552	889.8248
123.7362	882.0303
125.4768	833.9139
137.082	2265.1914
138.0659	1911.5577
139.2009	929.401
140.0817	8749.1104
140.4662	847.1724
143.3471	1076.9366
147.2181	806.9715
149.6101	942.5475
153.3701	879.7864
155.0926	2835.2576
157.1081	2803.031
158.0923	1924.5354
159.8066	891.6181
160.5263	962.4329
164.9862	1172.4902
167.7263	907.8671
169.3513	986.3567
172.108	1884.3905
175.1187	6143.271
178.2446	17822.3828
178.2494	3562.4016
180.0876	6302.9521
181.1084	1888.4475
185.4358	1008.551
186.6037	943.8398
190.693	927.2819
192.7761	928.0972
197.1033	1365.0913
198.9186	1069.1862
202.6127	1166.1387
209.103	6088.7217
215.1136	4758.3853
232.1401	151508.125
233.1372	2406.4001
233.1435	6443.6777
234.1347	8167.1182
235.1187	8946.9238
249.1453	1974.1509
252.1452	10483.8066
256.1398	1602.0596
257.1235	1091.6674
258.1198	2018.9231
259.1299	4078.728
259.6299	998.23
261.0903	1125.2783
262.1295	1951.0295
269.124	1274.0485
276.1563	1512.1575
277.1404	74661.1719
278.1244	2168.886
278.177	5330.7642
280.1403	1850.0195
284.2752	1146.347
286.1514	1557.4514
287.1347	4228.2812
294.1669	59746.2227
295.1513	1629.2202
298.0966	12960.127
301.1616	7047.0996
306.1718	8228.2246
312.1296	1573.2079
312.1775	3332.4436
329.1565	7407.7959
330.14	2552.7271
347.1669	12837.96
349.3296	1139.1125
355.6356	1063.6583
361.1617	1302.5765
366.188	1461.9794
369.1335	11008.3105
376.153	1144.1385
378.1879	1333.9291
378.2433	1197.7943
379.2053	1432.0833
381.1869	2450.5076
382.1085	1212.3752
383.7001	1954.2443
384.187	5519.3169
388.1722	4266.9092
389.1561	4124.0591
394.1823	3201.2485
395.2146	6301.5713
400.1646	1751.7413
401.148	1254.4623
405.1988	3856.9551
406.1827	13592.1885
407.1664	3200.3547
410.1663	2481.0969
412.2482	1174.1794
418.1748	9455.2666
418.2053	1091.6371
419.2011	12526.4756
419.3969	1143.5833
419.7014	2202.8909
423.2093	20031.0312
424.1933	7206.9653
426.2089	1836.8466
427.1929	9601.1836
428.1962	1330.5585
435.2014	14433.9912
440.1704	7524.2251
441.2198	50483.1797
443.23	4566.7441
444.2194	27912.4551
445.223	2520.3345
477.9158	1431.3556
478.1749	9104.6475
492.2807	1569.6178
509.1922	4430.2236
512.2281	2015.1597
514.2675	1945.1083
520.1975	2970.3818
524.2089	1526.6744
526.2181	2569.9292
530.2384	3986.7366
537.1865	3479.1926
537.2229	15946.0098
538.207	13595.2539
540.2578	2319.9404
541.2363	3832.427
552.4493	1261.2612
554.213	19268.4453
554.2499	9197.1318
555.2335	63083.918
557.0506	1262.2856
558.262	4971.5527
571.3013	7863.1011
571.7827	17010.9492
572.2598	1099554.875
573.2629	2295.3105
585.3024	3370.0061
606.2625	5017.7651
629.299	15215.7637
630.3021	4107.8496
651.266	3022.1714
651.5378	1352.4923
672.8303	1375.6876
680.322	1258.2446
683.309	2163.8813
699.3457	5016.9834
700.3365	20558.4746
701.3387	4865.8237
749.4516	1273.5155
766.2927	11579.1836
767.2965	2406.6238
779.422	1406.4718
819.3834	1689.0038
820.369	2736.9058
823.3151	1975.0339
837.3948	37628.0781
838.3973	9069.7637
841.3254	1542.4584
906.4163	6086.0864
911.4273	3104.0334
916.4006	1559.9609
937.3937	3137.2861
953.4364	1858.0006
962.3897	1978.1693
963.3758	1694.142
979.4135	9815.3369
980.4	22329.1328
981.4033	5538.6616
997.4252	260092.6562
998.4277	81708.5
999.4312	4585.4795
